# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -43.5372
# Longitude (positive East, ISO 19115): 172.7049
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-06-09T10:00:00.0/2020-06-09T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T11:00:00.0/2020-06-09T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T12:00:00.0/2020-06-09T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T13:00:00.0/2020-06-09T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T14:00:00.0/2020-06-09T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T15:00:00.0/2020-06-09T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T16:00:00.0/2020-06-09T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T17:00:00.0/2020-06-09T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T18:00:00.0/2020-06-09T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T19:00:00.0/2020-06-09T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T20:00:00.0/2020-06-09T21:00:00.0;88.6731;45.5321;29.1172;16.4149;314.6022;45.5321;29.1172;16.4149;314.6022;0.6833
2020-06-09T21:00:00.0/2020-06-09T22:00:00.0;269.3259;176.1159;139.9993;36.1166;677.2824;173.1032;137.0744;36.0288;663.6859;1.0000
2020-06-09T22:00:00.0/2020-06-09T23:00:00.0;407.8062;290.8911;248.6565;42.2346;803.5773;287.0865;242.7902;44.2963;782.2131;1.0000
2020-06-09T23:00:00.0/2020-06-10T00:00:00.0;494.2458;365.1477;321.2621;43.8856;858.3445;365.1477;321.2621;43.8856;858.3445;1.0000
2020-06-10T00:00:00.0/2020-06-10T01:00:00.0;522.7551;389.6920;345.2308;44.4612;872.3779;389.6920;345.2308;44.4612;872.3779;1.0000
2020-06-10T01:00:00.0/2020-06-10T02:00:00.0;491.3914;362.5867;319.3195;43.2672;858.0950;362.5867;319.3195;43.2672;858.0950;1.0000
2020-06-10T02:00:00.0/2020-06-10T03:00:00.0;402.2935;286.7433;246.9670;39.7762;809.1493;286.7433;246.9670;39.7762;809.1493;0.9167
2020-06-10T03:00:00.0/2020-06-10T04:00:00.0;261.5342;170.8879;138.2018;32.6861;688.3979;170.8879;138.2018;32.6861;688.3979;1.0000
2020-06-10T04:00:00.0/2020-06-10T05:00:00.0;80.0273;41.0886;27.2554;13.8332;310.8676;41.0886;27.2554;13.8332;310.8676;0.7333
2020-06-10T05:00:00.0/2020-06-10T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T06:00:00.0/2020-06-10T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T07:00:00.0/2020-06-10T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T08:00:00.0/2020-06-10T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T09:00:00.0/2020-06-10T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T10:00:00.0/2020-06-10T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T11:00:00.0/2020-06-10T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T12:00:00.0/2020-06-10T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T13:00:00.0/2020-06-10T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T14:00:00.0/2020-06-10T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T15:00:00.0/2020-06-10T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T16:00:00.0/2020-06-10T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T17:00:00.0/2020-06-10T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T18:00:00.0/2020-06-10T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T19:00:00.0/2020-06-10T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-10T20:00:00.0/2020-06-10T21:00:00.0;86.8184;43.6327;27.3078;16.3249;296.4783;37.3828;11.9459;25.4369;106.7621;0.6917
2020-06-10T21:00:00.0/2020-06-10T22:00:00.0;267.3360;171.6561;133.7709;37.8852;651.8132;159.5823;107.2265;52.3558;542.6007;1.0000
2020-06-10T22:00:00.0/2020-06-10T23:00:00.0;405.8754;284.6695;237.4322;47.2373;770.8447;191.9845;31.3638;160.6208;100.6893;1.0000
2020-06-10T23:00:00.0/2020-06-11T00:00:00.0;492.4408;357.8619;306.0171;51.8449;820.4221;353.6752;296.3651;57.3100;792.8174;1.0000
2020-06-11T00:00:00.0/2020-06-11T01:00:00.0;521.1337;381.4373;326.8355;54.6018;828.2689;300.1378;156.8342;143.3036;397.3796;1.0000
2020-06-11T01:00:00.0/2020-06-11T02:00:00.0;489.9994;353.0910;297.3819;55.7091;801.0508;108.9866;2.6780;106.3085;6.9508;1.0000
2020-06-11T02:00:00.0/2020-06-11T03:00:00.0;401.1606;276.6945;223.5183;53.1762;733.5187;62.9439;0.0069;62.9370;0.0257;0.9167
2020-06-11T03:00:00.0/2020-06-11T04:00:00.0;260.6727;162.2482;118.8013;43.4469;591.1060;77.4548;0.5115;76.9432;2.7674;1.0000
2020-06-11T04:00:00.0/2020-06-11T05:00:00.0;79.4874;37.5691;20.2939;17.2752;223.4973;33.1266;10.2849;22.8417;139.0728;0.7333
2020-06-11T05:00:00.0/2020-06-11T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T06:00:00.0/2020-06-11T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T07:00:00.0/2020-06-11T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T08:00:00.0/2020-06-11T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T09:00:00.0/2020-06-11T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T10:00:00.0/2020-06-11T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T11:00:00.0/2020-06-11T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T12:00:00.0/2020-06-11T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T13:00:00.0/2020-06-11T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T14:00:00.0/2020-06-11T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T15:00:00.0/2020-06-11T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T16:00:00.0/2020-06-11T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T17:00:00.0/2020-06-11T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T18:00:00.0/2020-06-11T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T19:00:00.0/2020-06-11T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-11T20:00:00.0/2020-06-11T21:00:00.0;85.1050;36.3091;11.7859;24.5232;118.1234;9.5432;0.0000;9.5432;0.0000;0.6917
2020-06-11T21:00:00.0/2020-06-11T22:00:00.0;265.4698;156.3612;88.6597;67.7015;428.5909;30.7502;0.2008;30.5494;0.8513;1.0000
2020-06-11T22:00:00.0/2020-06-11T23:00:00.0;404.0789;270.9409;186.6610;84.2800;606.9812;142.0975;29.2343;112.8632;93.1077;1.0000
2020-06-11T23:00:00.0/2020-06-12T00:00:00.0;490.7781;347.3523;259.8047;87.5476;698.3499;89.8398;0.1147;89.7251;0.2987;1.0000
2020-06-12T00:00:00.0/2020-06-12T01:00:00.0;519.6597;373.9340;286.6018;87.3322;728.2063;141.0835;1.4946;139.5889;3.8047;1.0000
2020-06-12T01:00:00.0/2020-06-12T02:00:00.0;488.7561;347.6942;262.2281;85.4661;707.9805;242.5363;67.5829;174.9534;185.4936;1.0000
2020-06-12T02:00:00.0/2020-06-12T03:00:00.0;400.1744;272.6644;194.8134;77.8510;640.3607;214.3229;72.5418;141.7811;235.3289;0.9167
2020-06-12T03:00:00.0/2020-06-12T04:00:00.0;259.9524;158.4557;98.4447;60.0110;488.4766;85.1916;5.4191;79.7725;22.5449;1.0000
2020-06-12T04:00:00.0/2020-06-12T05:00:00.0;79.0652;35.6320;14.0912;21.5407;148.1179;19.9314;0.0017;19.9297;0.0151;0.7333
2020-06-12T05:00:00.0/2020-06-12T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T06:00:00.0/2020-06-12T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T07:00:00.0/2020-06-12T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T08:00:00.0/2020-06-12T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T09:00:00.0/2020-06-12T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T10:00:00.0/2020-06-12T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T11:00:00.0/2020-06-12T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T12:00:00.0/2020-06-12T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T13:00:00.0/2020-06-12T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T14:00:00.0/2020-06-12T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T15:00:00.0/2020-06-12T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T16:00:00.0/2020-06-12T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T17:00:00.0/2020-06-12T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T18:00:00.0/2020-06-12T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T19:00:00.0/2020-06-12T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-12T20:00:00.0/2020-06-12T21:00:00.0;83.4902;41.6109;23.9180;17.6929;260.1851;41.6109;23.9180;17.6929;260.1851;0.7000
2020-06-12T21:00:00.0/2020-06-12T22:00:00.0;263.7283;170.5654;128.5252;42.0402;633.1055;170.5654;128.5252;42.0402;633.1055;1.0000
2020-06-12T22:00:00.0/2020-06-12T23:00:00.0;402.4178;285.4381;234.2627;51.1755;766.4970;285.4381;234.2627;51.1755;766.4970;1.0000
2020-06-12T23:00:00.0/2020-06-13T00:00:00.0;489.2587;359.8770;305.4346;54.4424;823.7617;359.8770;305.4346;54.4424;823.7617;1.0000
2020-06-13T00:00:00.0/2020-06-13T01:00:00.0;518.3337;385.0474;330.0201;55.0273;840.4930;385.0474;330.0201;55.0273;840.4930;1.0000
2020-06-13T01:00:00.0/2020-06-13T02:00:00.0;487.6620;358.4358;304.8527;53.5832;824.8935;358.4358;304.8527;53.5832;824.8935;1.0000
2020-06-13T02:00:00.0/2020-06-13T03:00:00.0;399.3349;282.8928;233.9114;48.9814;771.3068;282.8928;233.9114;48.9814;771.3068;0.9167
2020-06-13T03:00:00.0/2020-06-13T04:00:00.0;259.3728;167.4060;128.2452;39.1608;642.4559;167.4060;128.2452;39.1608;642.4559;1.0000
2020-06-13T04:00:00.0/2020-06-13T05:00:00.0;78.7321;39.2466;23.5756;15.6710;265.7147;39.2466;23.5756;15.6710;265.7147;0.7417
2020-06-13T05:00:00.0/2020-06-13T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T06:00:00.0/2020-06-13T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T07:00:00.0/2020-06-13T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T08:00:00.0/2020-06-13T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T09:00:00.0/2020-06-13T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T10:00:00.0/2020-06-13T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T11:00:00.0/2020-06-13T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T12:00:00.0/2020-06-13T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T13:00:00.0/2020-06-13T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T14:00:00.0/2020-06-13T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T15:00:00.0/2020-06-13T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T16:00:00.0/2020-06-13T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T17:00:00.0/2020-06-13T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T18:00:00.0/2020-06-13T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T19:00:00.0/2020-06-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-13T20:00:00.0/2020-06-13T21:00:00.0;82.0124;39.4301;22.2596;17.1705;243.9287;39.4301;22.2596;17.1705;243.9287;0.7000
2020-06-13T21:00:00.0/2020-06-13T22:00:00.0;262.1131;167.6814;126.8140;40.8675;626.5720;167.6814;126.8140;40.8675;626.5720;1.0000
2020-06-13T22:00:00.0/2020-06-13T23:00:00.0;400.8932;286.6249;239.8678;46.7571;787.1615;286.6249;239.8678;46.7571;787.1615;1.0000
2020-06-13T23:00:00.0/2020-06-14T00:00:00.0;487.8834;366.0983;320.2597;45.8386;865.8095;366.0983;320.2597;45.8386;865.8095;1.0000
2020-06-14T00:00:00.0/2020-06-14T01:00:00.0;517.1548;394.0511;349.7231;44.3279;892.5216;394.0511;349.7231;44.3279;892.5216;1.0000
2020-06-14T01:00:00.0/2020-06-14T02:00:00.0;486.7158;367.2779;323.8480;43.4299;877.8662;367.2779;323.8480;43.4299;877.8662;1.0000
2020-06-14T02:00:00.0/2020-06-14T03:00:00.0;398.6406;290.9650;250.9199;40.0452;828.9821;290.9650;250.9199;40.0452;828.9821;0.9167
2020-06-14T03:00:00.0/2020-06-14T04:00:00.0;258.9323;173.9067;141.4564;32.4503;711.6395;143.4816;84.9898;58.4918;393.8896;1.0000
2020-06-14T04:00:00.0/2020-06-14T05:00:00.0;78.5441;41.8722;28.4644;13.4078;328.7659;19.9233;0.0008;19.9226;0.0060;0.7417
2020-06-14T05:00:00.0/2020-06-14T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T06:00:00.0/2020-06-14T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T07:00:00.0/2020-06-14T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T08:00:00.0/2020-06-14T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T09:00:00.0/2020-06-14T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T10:00:00.0/2020-06-14T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T11:00:00.0/2020-06-14T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T12:00:00.0/2020-06-14T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T13:00:00.0/2020-06-14T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T14:00:00.0/2020-06-14T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T15:00:00.0/2020-06-14T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T16:00:00.0/2020-06-14T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T17:00:00.0/2020-06-14T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T18:00:00.0/2020-06-14T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T19:00:00.0/2020-06-14T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-14T20:00:00.0/2020-06-14T21:00:00.0;80.6273;41.0249;26.5701;14.4548;301.8918;40.0099;23.0564;16.9536;273.5277;0.7083
2020-06-14T21:00:00.0/2020-06-14T22:00:00.0;260.6241;167.6759;131.6818;35.9941;658.1653;131.2749;37.9062;93.3688;181.4182;1.0000
2020-06-14T22:00:00.0/2020-06-14T23:00:00.0;399.5049;279.1700;232.0209;47.1491;764.8564;216.7256;79.1611;137.5644;256.2326;1.0000
2020-06-14T23:00:00.0/2020-06-15T00:00:00.0;486.6516;350.9692;296.8651;54.1041;804.7605;270.9991;105.0547;165.9444;287.1873;1.0000
2020-06-15T00:00:00.0/2020-06-15T01:00:00.0;516.1260;374.0349;315.4967;58.5382;806.6190;202.7775;30.4155;172.3620;77.7892;1.0000
2020-06-15T01:00:00.0/2020-06-15T02:00:00.0;485.9203;345.9397;285.5669;60.3728;774.9695;160.9862;12.6082;148.3780;35.7334;1.0000
2020-06-15T02:00:00.0/2020-06-15T03:00:00.0;398.0937;270.1855;212.1244;58.0611;700.6024;184.9031;29.4845;155.4186;95.5107;0.9167
2020-06-15T03:00:00.0/2020-06-15T04:00:00.0;258.6326;156.7413;109.2364;47.5050;545.6724;80.4640;1.3284;79.1356;6.0981;1.0000
2020-06-15T04:00:00.0/2020-06-15T05:00:00.0;78.4706;35.2799;16.9064;18.3735;182.5085;24.6920;0.0328;24.6592;0.3682;0.7417
2020-06-15T05:00:00.0/2020-06-15T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T06:00:00.0/2020-06-15T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T07:00:00.0/2020-06-15T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T08:00:00.0/2020-06-15T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T09:00:00.0/2020-06-15T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T10:00:00.0/2020-06-15T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T11:00:00.0/2020-06-15T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T12:00:00.0/2020-06-15T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T13:00:00.0/2020-06-15T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T14:00:00.0/2020-06-15T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T15:00:00.0/2020-06-15T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T16:00:00.0/2020-06-15T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T17:00:00.0/2020-06-15T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T18:00:00.0/2020-06-15T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T19:00:00.0/2020-06-15T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-15T20:00:00.0/2020-06-15T21:00:00.0;79.3829;38.9481;24.6269;14.3212;280.0799;38.9481;24.6269;14.3212;280.0799;0.7083
2020-06-15T21:00:00.0/2020-06-15T22:00:00.0;259.2649;163.5840;129.0301;34.5539;646.9786;163.5840;129.0301;34.5539;646.9786;1.0000
2020-06-15T22:00:00.0/2020-06-15T23:00:00.0;398.2564;274.8783;232.7911;42.0871;769.3489;254.1260;188.6632;65.4628;631.6633;1.0000
2020-06-15T23:00:00.0/2020-06-16T00:00:00.0;485.5667;347.2481;302.3182;44.9299;821.1093;324.9459;245.5198;79.4261;665.7228;1.0000
2020-06-16T00:00:00.0/2020-06-16T01:00:00.0;515.2466;371.6241;325.4246;46.1994;833.2686;371.6241;325.4246;46.1994;833.2686;1.0000
