date,usage,dollars,type
02:00PM 26 August 2025,0.97 kWh,$0.32,actual
03:00PM 26 August 2025,0.42 kWh,$0.17,actual
04:00PM 26 August 2025,1.11 kWh,$0.35,actual
05:00PM 26 August 2025,1.30 kWh,$0.40,actual
06:00PM 26 August 2025,3.55 kWh,$1.01,actual
07:00PM 26 August 2025,2.82 kWh,$0.81,actual
08:00PM 26 August 2025,3.05 kWh,$0.87,actual
09:00PM 26 August 2025,3.65 kWh,$0.67,actual
10:00PM 26 August 2025,2.35 kWh,$0.45,actual
11:00PM 26 August 2025,3.09 kWh,$0.58,actual
12:00AM 27 August 2025,4.30 kWh,$0.78,actual
01:00AM 27 August 2025,4.28 kWh,$0.78,actual
02:00AM 27 August 2025,3.46 kWh,$0.64,actual
03:00AM 27 August 2025,1.42 kWh,$0.29,actual
04:00AM 27 August 2025,1.44 kWh,$0.30,actual
05:00AM 27 August 2025,1.49 kWh,$0.31,actual
06:00AM 27 August 2025,1.65 kWh,$0.33,actual
07:00AM 27 August 2025,1.88 kWh,$0.56,actual
08:00AM 27 August 2025,1.20 kWh,$0.38,actual
09:00AM 27 August 2025,1.50 kWh,$0.46,actual
10:00AM 27 August 2025,0.68 kWh,$0.24,actual
11:00AM 27 August 2025,0.44 kWh,$0.17,actual
12:00PM 27 August 2025,0.98 kWh,$0.32,actual
01:00PM 27 August 2025,1.40 kWh,$0.43,actual
02:00PM 27 August 2025,0.58 kWh,$0.21,actual
03:00PM 27 August 2025,0.75 kWh,$0.26,actual
04:00PM 27 August 2025,1.28 kWh,$0.40,actual
05:00PM 27 August 2025,3.54 kWh,$1.00,actual
06:00PM 27 August 2025,3.30 kWh,$0.94,actual
07:00PM 27 August 2025,2.02 kWh,$0.60,actual
08:00PM 27 August 2025,2.41 kWh,$0.70,actual
09:00PM 27 August 2025,3.34 kWh,$0.62,actual
10:00PM 27 August 2025,2.76 kWh,$0.52,actual
11:00PM 27 August 2025,3.19 kWh,$0.59,actual
12:00AM 28 August 2025,4.19 kWh,$0.76,actual
01:00AM 28 August 2025,4.28 kWh,$0.77,actual
02:00AM 28 August 2025,4.27 kWh,$0.77,actual
03:00AM 28 August 2025,4.14 kWh,$0.75,actual
04:00AM 28 August 2025,1.32 kWh,$0.28,actual
05:00AM 28 August 2025,1.49 kWh,$0.31,actual
06:00AM 28 August 2025,1.89 kWh,$0.37,actual
07:00AM 28 August 2025,1.70 kWh,$0.51,actual
08:00AM 28 August 2025,1.43 kWh,$0.44,actual
09:00AM 28 August 2025,0.36 kWh,$0.15,actual
10:00AM 28 August 2025,0.47 kWh,$0.18,actual
11:00AM 28 August 2025,1.20 kWh,$0.38,actual
12:00PM 28 August 2025,1.67 kWh,$0.50,actual
01:00PM 28 August 2025,0.58 kWh,$0.21,actual
02:00PM 28 August 2025,0.39 kWh,$0.16,actual
03:00PM 28 August 2025,0.73 kWh,$0.25,actual
04:00PM 28 August 2025,0.64 kWh,$0.23,actual
05:00PM 28 August 2025,0.99 kWh,$0.32,actual
06:00PM 28 August 2025,2.59 kWh,$0.75,actual
07:00PM 28 August 2025,2.17 kWh,$0.64,actual
08:00PM 28 August 2025,1.77 kWh,$0.53,actual
09:00PM 28 August 2025,2.91 kWh,$0.54,actual
10:00PM 28 August 2025,2.64 kWh,$0.50,actual
11:00PM 28 August 2025,3.69 kWh,$0.68,actual
12:00AM 29 August 2025,4.56 kWh,$0.82,actual
01:00AM 29 August 2025,4.46 kWh,$0.81,actual
02:00AM 29 August 2025,2.80 kWh,$0.53,actual
03:00AM 29 August 2025,1.85 kWh,$0.37,actual
04:00AM 29 August 2025,1.38 kWh,$0.29,actual
05:00AM 29 August 2025,1.76 kWh,$0.35,actual
06:00AM 29 August 2025,2.20 kWh,$0.43,actual
07:00AM 29 August 2025,1.46 kWh,$0.45,actual
08:00AM 29 August 2025,1.64 kWh,$0.49,actual
09:00AM 29 August 2025,1.05 kWh,$0.34,actual
10:00AM 29 August 2025,0.41 kWh,$0.16,actual
11:00AM 29 August 2025,0.35 kWh,$0.15,actual
12:00PM 29 August 2025,1.78 kWh,$0.53,actual
01:00PM 29 August 2025,1.37 kWh,$0.42,actual
02:00PM 29 August 2025,0.37 kWh,$0.15,actual
