date,usage,dollars,type
06:00AM 10 March 2026,1.53 kWh,$0.31,actual
07:00AM 10 March 2026,2.02 kWh,$0.60,actual
08:00AM 10 March 2026,1.43 kWh,$0.44,actual
09:00AM 10 March 2026,1.33 kWh,$0.41,actual
10:00AM 10 March 2026,0.36 kWh,$0.15,actual
11:00AM 10 March 2026,0.31 kWh,$0.14,actual
12:00PM 10 March 2026,0.96 kWh,$0.31,actual
01:00PM 10 March 2026,0.41 kWh,$0.17,actual
02:00PM 10 March 2026,0.50 kWh,$0.19,actual
03:00PM 10 March 2026,0.38 kWh,$0.16,actual
04:00PM 10 March 2026,1.36 kWh,$0.42,actual
05:00PM 10 March 2026,1.57 kWh,$0.48,actual
06:00PM 10 March 2026,2.64 kWh,$0.76,actual
07:00PM 10 March 2026,2.27 kWh,$0.66,actual
08:00PM 10 March 2026,3.48 kWh,$0.99,actual
09:00PM 10 March 2026,2.50 kWh,$0.48,actual
10:00PM 10 March 2026,1.63 kWh,$0.33,actual
11:00PM 10 March 2026,2.33 kWh,$0.45,actual
12:00AM 11 March 2026,3.93 kWh,$0.72,actual
01:00AM 11 March 2026,3.88 kWh,$0.71,actual
02:00AM 11 March 2026,3.84 kWh,$0.70,actual
03:00AM 11 March 2026,3.61 kWh,$0.66,actual
04:00AM 11 March 2026,0.99 kWh,$0.22,actual
05:00AM 11 March 2026,1.03 kWh,$0.23,actual
06:00AM 11 March 2026,0.91 kWh,$0.21,actual
07:00AM 11 March 2026,1.47 kWh,$0.45,actual
08:00AM 11 March 2026,1.29 kWh,$0.40,actual
09:00AM 11 March 2026,0.61 kWh,$0.22,actual
10:00AM 11 March 2026,0.69 kWh,$0.24,actual
11:00AM 11 March 2026,0.44 kWh,$0.17,actual
12:00PM 11 March 2026,0.37 kWh,$0.16,actual
01:00PM 11 March 2026,0.35 kWh,$0.15,actual
02:00PM 11 March 2026,2.18 kWh,$0.64,actual
03:00PM 11 March 2026,0.77 kWh,$0.26,actual
04:00PM 11 March 2026,0.55 kWh,$0.20,actual
05:00PM 11 March 2026,0.84 kWh,$0.28,actual
06:00PM 11 March 2026,1.38 kWh,$0.43,actual
07:00PM 11 March 2026,1.38 kWh,$0.42,actual
08:00PM 11 March 2026,2.63 kWh,$0.76,actual
09:00PM 11 March 2026,2.71 kWh,$0.51,actual
10:00PM 11 March 2026,1.83 kWh,$0.36,actual
11:00PM 11 March 2026,2.72 kWh,$0.51,actual
12:00AM 12 March 2026,4.27 kWh,$0.77,actual
01:00AM 12 March 2026,4.33 kWh,$0.78,actual
02:00AM 12 March 2026,3.60 kWh,$0.66,actual
03:00AM 12 March 2026,1.54 kWh,$0.31,actual
04:00AM 12 March 2026,1.44 kWh,$0.30,actual
05:00AM 12 March 2026,1.07 kWh,$0.24,actual
06:00AM 12 March 2026,1.42 kWh,$0.29,actual
07:00AM 12 March 2026,1.46 kWh,$0.45,actual
08:00AM 12 March 2026,1.47 kWh,$0.45,actual
09:00AM 12 March 2026,0.70 kWh,$0.24,actual
10:00AM 12 March 2026,0.82 kWh,$0.28,actual
11:00AM 12 March 2026,0.43 kWh,$0.17,actual
12:00PM 12 March 2026,0.69 kWh,$0.24,actual
01:00PM 12 March 2026,0.40 kWh,$0.16,actual
02:00PM 12 March 2026,0.53 kWh,$0.20,actual
03:00PM 12 March 2026,0.47 kWh,$0.18,actual
04:00PM 12 March 2026,0.40 kWh,$0.16,actual
05:00PM 12 March 2026,0.39 kWh,$0.16,actual
06:00PM 12 March 2026,0.53 kWh,$0.20,actual
07:00PM 12 March 2026,1.42 kWh,$0.44,actual
08:00PM 12 March 2026,2.09 kWh,$0.62,actual
09:00PM 12 March 2026,1.27 kWh,$0.27,actual
10:00PM 12 March 2026,1.17 kWh,$0.25,actual
11:00PM 12 March 2026,2.58 kWh,$0.49,actual
12:00AM 13 March 2026,4.02 kWh,$0.73,actual
01:00AM 13 March 2026,3.95 kWh,$0.72,actual
02:00AM 13 March 2026,1.86 kWh,$0.37,actual
03:00AM 13 March 2026,1.03 kWh,$0.23,actual
04:00AM 13 March 2026,0.75 kWh,$0.18,actual
05:00AM 13 March 2026,1.08 kWh,$0.24,actual
06:00AM 13 March 2026,0.79 kWh,$0.19,actual
07:00AM 13 March 2026,0.84 kWh,$0.28,actual
08:00AM 13 March 2026,0.82 kWh,$0.28,actual
09:00AM 13 March 2026,1.05 kWh,$0.34,actual
10:00AM 13 March 2026,1.57 kWh,$0.48,actual
11:00AM 13 March 2026,0.44 kWh,$0.17,actual
12:00PM 13 March 2026,0.59 kWh,$0.21,actual
01:00PM 13 March 2026,1.80 kWh,$0.54,actual
02:00PM 13 March 2026,0.66 kWh,$0.23,actual
03:00PM 13 March 2026,0.43 kWh,$0.17,actual
04:00PM 13 March 2026,0.62 kWh,$0.22,actual
05:00PM 13 March 2026,1.72 kWh,$0.52,actual
06:00PM 13 March 2026,2.13 kWh,$0.63,actual
07:00PM 13 March 2026,2.25 kWh,$0.66,actual
08:00PM 13 March 2026,2.34 kWh,$0.68,actual
09:00PM 13 March 2026,0.82 kWh,$0.19,actual
10:00PM 13 March 2026,1.52 kWh,$0.31,actual
11:00PM 13 March 2026,2.71 kWh,$0.51,actual
12:00AM 14 March 2026,4.05 kWh,$0.74,actual
01:00AM 14 March 2026,4.09 kWh,$0.74,actual
02:00AM 14 March 2026,4.25 kWh,$0.77,actual
03:00AM 14 March 2026,3.19 kWh,$0.59,actual
04:00AM 14 March 2026,1.68 kWh,$0.34,actual
05:00AM 14 March 2026,1.07 kWh,$0.24,actual
06:00AM 14 March 2026,1.40 kWh,$0.29,actual
07:00AM 14 March 2026,0.88 kWh,$0.29,actual
08:00AM 14 March 2026,0.63 kWh,$0.22,actual
09:00AM 14 March 2026,1.31 kWh,$0.41,actual
10:00AM 14 March 2026,0.87 kWh,$0.29,actual
11:00AM 14 March 2026,1.08 kWh,$0.35,actual
12:00PM 14 March 2026,1.00 kWh,$0.32,actual
01:00PM 14 March 2026,0.66 kWh,$0.23,actual
02:00PM 14 March 2026,0.77 kWh,$0.26,actual
03:00PM 14 March 2026,0.69 kWh,$0.24,actual
04:00PM 14 March 2026,0.63 kWh,$0.22,actual
05:00PM 14 March 2026,1.39 kWh,$0.43,actual
06:00PM 14 March 2026,1.57 kWh,$0.48,actual
07:00PM 14 March 2026,1.00 kWh,$0.32,actual
08:00PM 14 March 2026,2.19 kWh,$0.64,actual
09:00PM 14 March 2026,1.37 kWh,$0.29,actual
10:00PM 14 March 2026,1.75 kWh,$0.35,actual
11:00PM 14 March 2026,2.56 kWh,$0.49,actual
12:00AM 15 March 2026,3.97 kWh,$0.72,actual
01:00AM 15 March 2026,3.90 kWh,$0.71,actual
02:00AM 15 March 2026,3.93 kWh,$0.72,actual
03:00AM 15 March 2026,2.25 kWh,$0.43,actual
04:00AM 15 March 2026,1.19 kWh,$0.26,actual
05:00AM 15 March 2026,0.79 kWh,$0.19,actual
06:00AM 15 March 2026,1.42 kWh,$0.29,actual
07:00AM 15 March 2026,1.14 kWh,$0.36,actual
08:00AM 15 March 2026,0.61 kWh,$0.22,actual
09:00AM 15 March 2026,0.99 kWh,$0.32,actual
10:00AM 15 March 2026,1.10 kWh,$0.35,actual
11:00AM 15 March 2026,0.48 kWh,$0.18,actual
12:00PM 15 March 2026,1.07 kWh,$0.34,actual
01:00PM 15 March 2026,0.69 kWh,$0.24,actual
02:00PM 15 March 2026,0.54 kWh,$0.20,actual
03:00PM 15 March 2026,1.54 kWh,$0.47,actual
04:00PM 15 March 2026,0.91 kWh,$0.30,actual
05:00PM 15 March 2026,0.82 kWh,$0.28,actual
06:00PM 15 March 2026,1.65 kWh,$0.50,actual
07:00PM 15 March 2026,1.57 kWh,$0.48,actual
08:00PM 15 March 2026,1.43 kWh,$0.44,actual
09:00PM 15 March 2026,1.67 kWh,$0.34,actual
10:00PM 15 March 2026,1.22 kWh,$0.26,actual
11:00PM 15 March 2026,2.69 kWh,$0.51,actual
12:00AM 16 March 2026,4.05 kWh,$0.74,actual
01:00AM 16 March 2026,4.04 kWh,$0.73,actual
02:00AM 16 March 2026,4.02 kWh,$0.73,actual
03:00AM 16 March 2026,4.08 kWh,$0.74,actual
04:00AM 16 March 2026,1.24 kWh,$0.26,actual
05:00AM 16 March 2026,1.05 kWh,$0.23,actual
06:00AM 16 March 2026,1.65 kWh,$0.33,actual
07:00AM 16 March 2026,2.09 kWh,$0.62,actual
08:00AM 16 March 2026,0.72 kWh,$0.25,actual
09:00AM 16 March 2026,0.43 kWh,$0.17,actual
10:00AM 16 March 2026,0.46 kWh,$0.18,actual
11:00AM 16 March 2026,1.02 kWh,$0.33,actual
12:00PM 16 March 2026,0.48 kWh,$0.18,actual
01:00PM 16 March 2026,0.36 kWh,$0.15,actual
02:00PM 16 March 2026,0.50 kWh,$0.19,actual
03:00PM 16 March 2026,0.56 kWh,$0.21,actual
04:00PM 16 March 2026,0.41 kWh,$0.16,actual
05:00PM 16 March 2026,0.49 kWh,$0.19,actual
06:00PM 16 March 2026,1.50 kWh,$0.46,actual
07:00PM 16 March 2026,1.68 kWh,$0.51,actual
08:00PM 16 March 2026,2.29 kWh,$0.67,actual
09:00PM 16 March 2026,1.08 kWh,$0.24,actual
10:00PM 16 March 2026,1.57 kWh,$0.32,actual
11:00PM 16 March 2026,2.69 kWh,$0.51,actual
12:00AM 17 March 2026,4.25 kWh,$0.77,actual
01:00AM 17 March 2026,4.32 kWh,$0.78,actual
02:00AM 17 March 2026,2.27 kWh,$0.44,actual
03:00AM 17 March 2026,1.84 kWh,$0.37,actual
04:00AM 17 March 2026,1.10 kWh,$0.24,actual
05:00AM 17 March 2026,1.28 kWh,$0.27,actual
06:00AM 17 March 2026,1.19 kWh,$0.26,actual
07:00AM 17 March 2026,1.55 kWh,$0.47,actual
08:00AM 17 March 2026,1.47 kWh,$0.45,actual
09:00AM 17 March 2026,0.50 kWh,$0.19,actual
10:00AM 17 March 2026,0.99 kWh,$0.32,actual
11:00AM 17 March 2026,0.40 kWh,$0.16,actual
12:00PM 17 March 2026,0.61 kWh,$0.22,actual
01:00PM 17 March 2026,0.80 kWh,$0.27,actual
02:00PM 17 March 2026,0.64 kWh,$0.23,actual
03:00PM 17 March 2026,0.61 kWh,$0.22,actual
04:00PM 17 March 2026,0.47 kWh,$0.18,actual
05:00PM 17 March 2026,0.84 kWh,$0.28,actual
06:00PM 17 March 2026,1.23 kWh,$0.39,actual
07:00PM 17 March 2026,1.56 kWh,$0.47,actual
08:00PM 17 March 2026,1.97 kWh,$0.58,actual
09:00PM 17 March 2026,1.84 kWh,$0.37,actual
10:00PM 17 March 2026,1.35 kWh,$0.28,actual
11:00PM 17 March 2026,2.57 kWh,$0.49,actual
12:00AM 18 March 2026,4.14 kWh,$0.75,actual
01:00AM 18 March 2026,4.13 kWh,$0.75,actual
02:00AM 18 March 2026,4.08 kWh,$0.74,actual
03:00AM 18 March 2026,3.81 kWh,$0.70,actual
04:00AM 18 March 2026,1.25 kWh,$0.27,actual
05:00AM 18 March 2026,1.06 kWh,$0.23,actual
06:00AM 18 March 2026,1.20 kWh,$0.26,actual
07:00AM 18 March 2026,1.83 kWh,$0.55,actual
08:00AM 18 March 2026,1.45 kWh,$0.44,actual
09:00AM 18 March 2026,0.33 kWh,$0.14,actual
10:00AM 18 March 2026,0.66 kWh,$0.23,actual
11:00AM 18 March 2026,0.53 kWh,$0.20,actual
12:00PM 18 March 2026,0.48 kWh,$0.18,actual
01:00PM 18 March 2026,0.45 kWh,$0.18,actual
02:00PM 18 March 2026,0.47 kWh,$0.18,actual
03:00PM 18 March 2026,0.64 kWh,$0.23,actual
04:00PM 18 March 2026,0.52 kWh,$0.19,actual
05:00PM 18 March 2026,0.69 kWh,$0.24,actual
06:00PM 18 March 2026,1.80 kWh,$0.54,actual
07:00PM 18 March 2026,1.74 kWh,$0.52,actual
08:00PM 18 March 2026,2.48 kWh,$0.72,actual
09:00PM 18 March 2026,1.59 kWh,$0.32,actual
10:00PM 18 March 2026,1.54 kWh,$0.31,actual
11:00PM 18 March 2026,2.61 kWh,$0.50,actual
12:00AM 19 March 2026,4.19 kWh,$0.76,actual
01:00AM 19 March 2026,4.23 kWh,$0.77,actual
02:00AM 19 March 2026,4.21 kWh,$0.76,actual
03:00AM 19 March 2026,3.29 kWh,$0.61,actual
04:00AM 19 March 2026,1.67 kWh,$0.34,actual
05:00AM 19 March 2026,1.41 kWh,$0.29,actual
06:00AM 19 March 2026,1.07 kWh,$0.23,actual
07:00AM 19 March 2026,1.74 kWh,$0.52,actual
08:00AM 19 March 2026,1.17 kWh,$0.37,actual
09:00AM 19 March 2026,0.79 kWh,$0.27,actual
10:00AM 19 March 2026,0.46 kWh,$0.18,actual
11:00AM 19 March 2026,0.59 kWh,$0.21,actual
12:00PM 19 March 2026,0.99 kWh,$0.32,actual
01:00PM 19 March 2026,0.75 kWh,$0.26,actual
02:00PM 19 March 2026,0.45 kWh,$0.18,actual
03:00PM 19 March 2026,0.45 kWh,$0.18,actual
04:00PM 19 March 2026,0.37 kWh,$0.15,actual
05:00PM 19 March 2026,0.67 kWh,$0.24,actual
06:00PM 19 March 2026,1.19 kWh,$0.37,actual
07:00PM 19 March 2026,1.81 kWh,$0.54,actual
08:00PM 19 March 2026,1.88 kWh,$0.56,actual
09:00PM 19 March 2026,0.94 kWh,$0.21,actual
10:00PM 19 March 2026,1.64 kWh,$0.33,actual
11:00PM 19 March 2026,3.06 kWh,$0.57,actual
12:00AM 20 March 2026,4.21 kWh,$0.76,actual
01:00AM 20 March 2026,4.25 kWh,$0.77,actual
02:00AM 20 March 2026,4.24 kWh,$0.77,actual
03:00AM 20 March 2026,1.41 kWh,$0.29,actual
04:00AM 20 March 2026,1.86 kWh,$0.37,actual
05:00AM 20 March 2026,1.18 kWh,$0.25,actual
06:00AM 20 March 2026,1.44 kWh,$0.30,actual
07:00AM 20 March 2026,1.58 kWh,$0.48,actual
08:00AM 20 March 2026,0.92 kWh,$0.30,actual
09:00AM 20 March 2026,0.81 kWh,$0.27,actual
10:00AM 20 March 2026,0.41 kWh,$0.17,actual
11:00AM 20 March 2026,0.49 kWh,$0.19,actual
12:00PM 20 March 2026,0.65 kWh,$0.23,actual
01:00PM 20 March 2026,1.80 kWh,$0.54,actual
02:00PM 20 March 2026,0.72 kWh,$0.25,actual
03:00PM 20 March 2026,0.47 kWh,$0.18,actual
04:00PM 20 March 2026,0.52 kWh,$0.20,actual
05:00PM 20 March 2026,0.84 kWh,$0.28,actual
06:00PM 20 March 2026,1.84 kWh,$0.55,actual
07:00PM 20 March 2026,2.57 kWh,$0.75,actual
08:00PM 20 March 2026,2.58 kWh,$0.75,actual
09:00PM 20 March 2026,1.33 kWh,$0.28,actual
10:00PM 20 March 2026,1.78 kWh,$0.36,actual
11:00PM 20 March 2026,3.16 kWh,$0.59,actual
12:00AM 21 March 2026,4.53 kWh,$0.82,actual
01:00AM 21 March 2026,4.47 kWh,$0.81,actual
02:00AM 21 March 2026,4.50 kWh,$0.81,actual
03:00AM 21 March 2026,2.54 kWh,$0.48,actual
04:00AM 21 March 2026,1.69 kWh,$0.34,actual
05:00AM 21 March 2026,1.64 kWh,$0.33,actual
06:00AM 21 March 2026,1.31 kWh,$0.28,actual
07:00AM 21 March 2026,0.89 kWh,$0.29,actual
08:00AM 21 March 2026,0.91 kWh,$0.30,actual
09:00AM 21 March 2026,1.24 kWh,$0.39,actual
10:00AM 21 March 2026,1.37 kWh,$0.42,actual
11:00AM 21 March 2026,3.25 kWh,$0.93,actual
12:00PM 21 March 2026,0.69 kWh,$0.24,actual
01:00PM 21 March 2026,0.60 kWh,$0.22,actual
02:00PM 21 March 2026,0.72 kWh,$0.25,actual
03:00PM 21 March 2026,0.55 kWh,$0.20,actual
04:00PM 21 March 2026,1.13 kWh,$0.36,actual
05:00PM 21 March 2026,1.01 kWh,$0.33,actual
06:00PM 21 March 2026,2.11 kWh,$0.62,actual
07:00PM 21 March 2026,1.78 kWh,$0.53,actual
08:00PM 21 March 2026,1.79 kWh,$0.54,actual
09:00PM 21 March 2026,1.33 kWh,$0.28,actual
10:00PM 21 March 2026,2.15 kWh,$0.42,actual
11:00PM 21 March 2026,3.05 kWh,$0.57,actual
12:00AM 22 March 2026,4.23 kWh,$0.77,actual
01:00AM 22 March 2026,4.20 kWh,$0.76,actual
02:00AM 22 March 2026,4.22 kWh,$0.77,actual
03:00AM 22 March 2026,4.19 kWh,$0.76,actual
04:00AM 22 March 2026,1.46 kWh,$0.30,actual
05:00AM 22 March 2026,1.30 kWh,$0.27,actual
06:00AM 22 March 2026,0.99 kWh,$0.22,actual
07:00AM 22 March 2026,1.24 kWh,$0.39,actual
08:00AM 22 March 2026,2.04 kWh,$0.60,actual
09:00AM 22 March 2026,0.63 kWh,$0.23,actual
10:00AM 22 March 2026,0.65 kWh,$0.23,actual
11:00AM 22 March 2026,0.87 kWh,$0.29,actual
12:00PM 22 March 2026,1.76 kWh,$0.53,actual
01:00PM 22 March 2026,1.44 kWh,$0.44,actual
02:00PM 22 March 2026,0.95 kWh,$0.31,actual
03:00PM 22 March 2026,0.50 kWh,$0.19,actual
04:00PM 22 March 2026,0.49 kWh,$0.19,actual
05:00PM 22 March 2026,1.48 kWh,$0.45,actual
06:00PM 22 March 2026,2.29 kWh,$0.67,actual
07:00PM 22 March 2026,1.90 kWh,$0.56,actual
08:00PM 22 March 2026,2.15 kWh,$0.63,actual
09:00PM 22 March 2026,2.13 kWh,$0.41,actual
10:00PM 22 March 2026,1.61 kWh,$0.33,actual
11:00PM 22 March 2026,2.53 kWh,$0.48,actual
12:00AM 23 March 2026,4.07 kWh,$0.74,actual
01:00AM 23 March 2026,4.05 kWh,$0.74,actual
02:00AM 23 March 2026,4.03 kWh,$0.73,actual
03:00AM 23 March 2026,2.52 kWh,$0.48,actual
04:00AM 23 March 2026,1.29 kWh,$0.27,actual
05:00AM 23 March 2026,1.18 kWh,$0.25,actual
06:00AM 23 March 2026,1.26 kWh,$0.27,actual
07:00AM 23 March 2026,2.69 kWh,$0.78,actual
08:00AM 23 March 2026,0.97 kWh,$0.32,actual
09:00AM 23 March 2026,0.74 kWh,$0.25,actual
10:00AM 23 March 2026,0.80 kWh,$0.27,actual
11:00AM 23 March 2026,0.51 kWh,$0.19,actual
12:00PM 23 March 2026,1.57 kWh,$0.48,actual
01:00PM 23 March 2026,0.51 kWh,$0.19,actual
02:00PM 23 March 2026,1.86 kWh,$0.55,actual
03:00PM 23 March 2026,0.83 kWh,$0.28,actual
04:00PM 23 March 2026,1.16 kWh,$0.37,actual
05:00PM 23 March 2026,1.00 kWh,$0.32,actual
06:00PM 23 March 2026,2.02 kWh,$0.60,actual
07:00PM 23 March 2026,1.44 kWh,$0.44,actual
08:00PM 23 March 2026,1.53 kWh,$0.47,actual
09:00PM 23 March 2026,2.37 kWh,$0.45,actual
10:00PM 23 March 2026,1.57 kWh,$0.32,actual
11:00PM 23 March 2026,2.55 kWh,$0.48,actual
12:00AM 24 March 2026,4.03 kWh,$0.73,actual
01:00AM 24 March 2026,4.03 kWh,$0.73,actual
02:00AM 24 March 2026,4.00 kWh,$0.73,actual
03:00AM 24 March 2026,4.03 kWh,$0.73,actual
04:00AM 24 March 2026,1.37 kWh,$0.29,actual
05:00AM 24 March 2026,1.44 kWh,$0.30,actual
06:00AM 24 March 2026,0.96 kWh,$0.22,actual
07:00AM 24 March 2026,1.81 kWh,$0.54,actual
08:00AM 24 March 2026,2.34 kWh,$0.68,actual
09:00AM 24 March 2026,0.95 kWh,$0.31,actual
10:00AM 24 March 2026,0.52 kWh,$0.20,actual
11:00AM 24 March 2026,0.67 kWh,$0.24,actual
12:00PM 24 March 2026,2.61 kWh,$0.76,actual
01:00PM 24 March 2026,0.92 kWh,$0.30,actual
02:00PM 24 March 2026,0.88 kWh,$0.29,actual
03:00PM 24 March 2026,1.79 kWh,$0.54,actual
04:00PM 24 March 2026,0.78 kWh,$0.27,actual
05:00PM 24 March 2026,0.62 kWh,$0.22,actual
06:00PM 24 March 2026,2.23 kWh,$0.65,actual
07:00PM 24 March 2026,1.59 kWh,$0.48,actual
08:00PM 24 March 2026,1.82 kWh,$0.54,actual
09:00PM 24 March 2026,2.35 kWh,$0.45,actual
10:00PM 24 March 2026,1.65 kWh,$0.33,actual
11:00PM 24 March 2026,2.84 kWh,$0.53,actual
12:00AM 25 March 2026,4.31 kWh,$0.78,actual
01:00AM 25 March 2026,4.28 kWh,$0.77,actual
02:00AM 25 March 2026,4.31 kWh,$0.78,actual
03:00AM 25 March 2026,1.27 kWh,$0.27,actual
04:00AM 25 March 2026,1.38 kWh,$0.29,actual
05:00AM 25 March 2026,1.13 kWh,$0.25,actual
06:00AM 25 March 2026,1.59 kWh,$0.32,actual
07:00AM 25 March 2026,1.89 kWh,$0.56,actual
08:00AM 25 March 2026,1.36 kWh,$0.42,actual
09:00AM 25 March 2026,0.56 kWh,$0.20,actual
10:00AM 25 March 2026,0.41 kWh,$0.16,actual
11:00AM 25 March 2026,0.55 kWh,$0.20,actual
12:00PM 25 March 2026,0.45 kWh,$0.18,actual
01:00PM 25 March 2026,0.89 kWh,$0.29,actual
02:00PM 25 March 2026,0.62 kWh,$0.22,actual
03:00PM 25 March 2026,0.70 kWh,$0.24,actual
04:00PM 25 March 2026,0.61 kWh,$0.22,actual
05:00PM 25 March 2026,0.96 kWh,$0.31,actual
06:00PM 25 March 2026,2.88 kWh,$0.83,actual
07:00PM 25 March 2026,2.28 kWh,$0.67,actual
08:00PM 25 March 2026,1.93 kWh,$0.57,actual
09:00PM 25 March 2026,1.02 kWh,$0.23,actual
10:00PM 25 March 2026,1.77 kWh,$0.35,actual
11:00PM 25 March 2026,2.93 kWh,$0.55,actual
12:00AM 26 March 2026,4.32 kWh,$0.78,actual
01:00AM 26 March 2026,4.42 kWh,$0.80,actual
02:00AM 26 March 2026,4.37 kWh,$0.79,actual
03:00AM 26 March 2026,3.28 kWh,$0.61,actual
04:00AM 26 March 2026,1.40 kWh,$0.29,actual
05:00AM 26 March 2026,1.66 kWh,$0.33,actual
06:00AM 26 March 2026,1.19 kWh,$0.25,actual
07:00AM 26 March 2026,1.40 kWh,$0.43,actual
08:00AM 26 March 2026,1.51 kWh,$0.46,actual
09:00AM 26 March 2026,0.87 kWh,$0.29,actual
10:00AM 26 March 2026,0.45 kWh,$0.18,actual
11:00AM 26 March 2026,0.35 kWh,$0.15,actual
12:00PM 26 March 2026,0.33 kWh,$0.14,actual
01:00PM 26 March 2026,0.76 kWh,$0.26,actual
02:00PM 26 March 2026,0.67 kWh,$0.24,actual
03:00PM 26 March 2026,0.47 kWh,$0.18,actual
04:00PM 26 March 2026,1.48 kWh,$0.45,actual
05:00PM 26 March 2026,1.03 kWh,$0.33,actual
06:00PM 26 March 2026,1.40 kWh,$0.43,actual
07:00PM 26 March 2026,2.10 kWh,$0.62,actual
08:00PM 26 March 2026,2.68 kWh,$0.77,actual
09:00PM 26 March 2026,2.66 kWh,$0.50,actual
10:00PM 26 March 2026,2.12 kWh,$0.41,actual
11:00PM 26 March 2026,2.79 kWh,$0.53,actual
12:00AM 27 March 2026,4.19 kWh,$0.76,actual
01:00AM 27 March 2026,4.17 kWh,$0.76,actual
02:00AM 27 March 2026,2.75 kWh,$0.52,actual
03:00AM 27 March 2026,2.17 kWh,$0.42,actual
04:00AM 27 March 2026,0.94 kWh,$0.21,actual
05:00AM 27 March 2026,0.96 kWh,$0.22,actual
06:00AM 27 March 2026,1.25 kWh,$0.27,actual
07:00AM 27 March 2026,1.69 kWh,$0.51,actual
08:00AM 27 March 2026,1.26 kWh,$0.39,actual
09:00AM 27 March 2026,0.63 kWh,$0.22,actual
10:00AM 27 March 2026,0.43 kWh,$0.17,actual
11:00AM 27 March 2026,0.82 kWh,$0.28,actual
12:00PM 27 March 2026,0.77 kWh,$0.26,actual
01:00PM 27 March 2026,0.43 kWh,$0.17,actual
02:00PM 27 March 2026,1.47 kWh,$0.45,actual
03:00PM 27 March 2026,0.44 kWh,$0.17,actual
04:00PM 27 March 2026,0.75 kWh,$0.26,actual
05:00PM 27 March 2026,1.17 kWh,$0.37,actual
06:00PM 27 March 2026,3.47 kWh,$0.99,powerShout
07:00PM 27 March 2026,2.07 kWh,$0.61,actual
08:00PM 27 March 2026,2.28 kWh,$0.67,actual
09:00PM 27 March 2026,2.50 kWh,$0.48,actual
10:00PM 27 March 2026,1.90 kWh,$0.38,actual
11:00PM 27 March 2026,2.94 kWh,$0.55,actual
12:00AM 28 March 2026,4.50 kWh,$0.81,actual
01:00AM 28 March 2026,4.25 kWh,$0.77,actual
02:00AM 28 March 2026,4.17 kWh,$0.76,actual
03:00AM 28 March 2026,4.16 kWh,$0.75,actual
04:00AM 28 March 2026,1.16 kWh,$0.25,actual
05:00AM 28 March 2026,1.28 kWh,$0.27,actual
06:00AM 28 March 2026,1.25 kWh,$0.27,actual
07:00AM 28 March 2026,1.16 kWh,$0.37,actual
08:00AM 28 March 2026,0.58 kWh,$0.21,actual
09:00AM 28 March 2026,1.41 kWh,$0.43,actual
10:00AM 28 March 2026,1.25 kWh,$0.39,actual
11:00AM 28 March 2026,1.09 kWh,$0.35,actual
12:00PM 28 March 2026,1.12 kWh,$0.36,actual
01:00PM 28 March 2026,0.72 kWh,$0.25,actual
02:00PM 28 March 2026,0.41 kWh,$0.17,actual
03:00PM 28 March 2026,0.44 kWh,$0.17,actual
04:00PM 28 March 2026,0.49 kWh,$0.19,actual
05:00PM 28 March 2026,1.07 kWh,$0.34,actual
06:00PM 28 March 2026,1.96 kWh,$0.58,powerShout
07:00PM 28 March 2026,1.61 kWh,$0.49,actual
08:00PM 28 March 2026,2.09 kWh,$0.62,actual
09:00PM 28 March 2026,2.13 kWh,$0.41,actual
10:00PM 28 March 2026,1.81 kWh,$0.36,actual
11:00PM 28 March 2026,2.85 kWh,$0.54,actual
12:00AM 29 March 2026,4.17 kWh,$0.76,actual
01:00AM 29 March 2026,4.22 kWh,$0.76,actual
02:00AM 29 March 2026,4.14 kWh,$0.75,actual
03:00AM 29 March 2026,3.03 kWh,$0.57,actual
04:00AM 29 March 2026,1.30 kWh,$0.27,actual
05:00AM 29 March 2026,1.33 kWh,$0.28,actual
06:00AM 29 March 2026,2.10 kWh,$0.41,actual
07:00AM 29 March 2026,1.36 kWh,$0.42,actual
08:00AM 29 March 2026,1.26 kWh,$0.39,actual
09:00AM 29 March 2026,1.49 kWh,$0.45,actual
10:00AM 29 March 2026,0.53 kWh,$0.20,actual
11:00AM 29 March 2026,0.61 kWh,$0.22,actual
12:00PM 29 March 2026,1.20 kWh,$0.38,actual
01:00PM 29 March 2026,0.91 kWh,$0.30,actual
02:00PM 29 March 2026,0.90 kWh,$0.30,actual
03:00PM 29 March 2026,0.76 kWh,$0.26,actual
04:00PM 29 March 2026,1.17 kWh,$0.37,actual
05:00PM 29 March 2026,1.93 kWh,$0.57,actual
06:00PM 29 March 2026,2.96 kWh,$0.85,powerShout
07:00PM 29 March 2026,3.30 kWh,$0.94,actual
08:00PM 29 March 2026,2.75 kWh,$0.79,actual
09:00PM 29 March 2026,1.67 kWh,$0.34,actual
10:00PM 29 March 2026,1.81 kWh,$0.36,actual
11:00PM 29 March 2026,2.90 kWh,$0.54,actual
12:00AM 30 March 2026,4.19 kWh,$0.76,actual
01:00AM 30 March 2026,3.99 kWh,$0.73,actual
02:00AM 30 March 2026,3.94 kWh,$0.72,actual
03:00AM 30 March 2026,1.70 kWh,$0.34,actual
04:00AM 30 March 2026,1.09 kWh,$0.24,actual
05:00AM 30 March 2026,1.68 kWh,$0.34,actual
06:00AM 30 March 2026,1.39 kWh,$0.29,actual
07:00AM 30 March 2026,1.47 kWh,$0.45,actual
